PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
-0.9151314978956093,-1.2486963405903577,-2.063483664462589,-0.2760542396740343,-1.4377219000182386,-0.858614045289691,0.40534289239203347,-0.47840118929082587,-0.9253426593061329,-0.4162739826379328
-2.6205296471328943,-0.21382132074384289,-2.2016457665956612,-0.5721918452172722,-1.805649577295857,-0.8279602528592851,0.5049248160245275,-0.425522181979325,-0.9629200137727826,-0.6762320232560334
-3.421785325020759,0.7534828746822017,-2.5350760267578445,-0.06189608726934658,-1.5600860462426662,-1.2962189431821036,0.9932037664813673,-0.010995739559680227,0.10765389857336673,-0.6392830771420431
-5.022172888727674,1.5316656161189115,0.47444141014220603,2.0728793098616007,0.6574531104007633,-0.7229670039368421,-0.034619070269359405,-0.30761827396833347,0.31711962002898997,-0.37609438345580076
-4.344461580232954,0.10251085715825543,1.0342654882442404,1.538614645291679,0.5975135635407818,-0.611053053061093,-0.33596762249231826,-0.5373821503552992,-0.2973809500175159,-0.5425816006155194
-3.9886540160489883,-0.73338505198349,1.7776981974400083,0.8895495755175422,0.3577728724394018,0.01092448361493007,-0.5013581110531777,-0.8125798120496014,-1.2144104310502701,-0.1931288969791311
-2.8684302491943954,-2.4016599961109626,1.772988173300503,-0.7350087113421377,-1.1008258758839213,0.47858899062132576,0.27400129599185086,-0.6154747406312645,0.29346627281737037,-0.10298231688845327
-1.695692008819749,-4.082575066619348,1.486619304808,-1.0758655195562445,-0.7559004294469032,0.9133492570280339,-0.12688440912026303,-0.8111902627764404,-0.021318134268166627,-0.18235381272715934
-1.1220954968434491,-4.4358906254897335,0.04170782732894778,-0.18944383985246302,0.19620996036059973,0.6714325686065306,-0.048878255277598356,-0.49829401309499866,1.3776335781569409,-0.4391174845707447
-1.0189004657090963,-3.8819105146480135,-1.694635859229056,0.4043886485306813,0.9216632963978081,-0.11958301986200234,-0.23277639588394863,-0.6145583812094046,-0.4718096472838297,-0.6571277000230096
-0.773446884499592,-3.7779838635402267,-2.276964443989083,0.7404838238980872,1.2002665879217944,-0.6415135084250712,0.04880854467615352,-0.43323626151412037,-0.14300606771515123,-0.84301303131269
-1.2180648520839443,-3.3965346791792723,-2.9523136992087657,0.5723574851558909,1.18804339808102,-0.3201780461721973,-0.033674960871907016,-0.35882744319044385,-0.0734533632899023,-0.6137661674408451
