date,market,product,price_avg,source
2023-02-15,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",aguacate_hass,28.77,SNIIM
2023-02-15,"Coahuila: Central de Abasto de La Laguna, Torreón",aguacate_hass,66.56,SNIIM
2023-02-15,Colima: Centros de distribución de Colima,aguacate_hass,51.0,SNIIM
2023-02-15,Chiapas: Central de Abasto de Tuxtla Gutiérrez,aguacate_hass,37.87,SNIIM
2023-02-15,Chihuahua: Mercado de Abasto de Cd. Juárez,aguacate_hass,33.32,SNIIM
2023-02-15,DF: Central de Abasto de Iztapalapa DF,aguacate_hass,34.92,SNIIM
2023-02-15,Durango: Centro de Distribución y Abasto de Gómez Palacio,aguacate_hass,42.0,SNIIM
2023-02-15,Guanajuato: Central de Abasto de León,aguacate_hass,36.5,SNIIM
2023-02-15,Guerrero: Central de Abastos de Acapulco,aguacate_hass,50.8,SNIIM
2023-02-15,Hidalgo: Central de Abasto de Pachuca,aguacate_hass,35.42,SNIIM
2023-02-15,Jalisco: Mercado de Abasto de Guadalajara,aguacate_hass,35.0,SNIIM
2023-02-15,Jalisco: Mercado Felipe Ángeles de Guadalajara,aguacate_hass,27.6,SNIIM
2023-02-15,México: Central de Abasto de Ecatepec,aguacate_hass,42.1,SNIIM
2023-02-15,México: Central de Abasto de Toluca,aguacate_hass,37.92,SNIIM
2023-02-15,Michoacán: Mercado de Abasto de Morelia,aguacate_hass,57.89,SNIIM
2023-02-15,Morelos: Central de Abasto de Cuautla,aguacate_hass,30.3,SNIIM
2023-02-15,"Morelos: Mercado ""Adolfo López Mateos"" de Cuernavaca",aguacate_hass,38.5,SNIIM
2023-02-15,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,aguacate_hass,56.78,SNIIM
2023-02-15,Nayarit: Nayarabastos de Tepic,aguacate_hass,61.58,SNIIM
2023-02-15,Oaxaca: Módulo de Abasto de Oaxaca,aguacate_hass,34.27,SNIIM
2023-02-15,Puebla: Central de Abasto de Puebla,aguacate_hass,40.22,SNIIM
2023-02-15,Querétaro: Mercado de Abasto de Querétaro,aguacate_hass,32.63,SNIIM
2023-02-15,"Quintana Roo: Mercado de Chetumal, Quintana Roo",aguacate_hass,70.0,SNIIM
2023-02-15,San Luis Potosí: Centro de Abasto de San Luis Potosí,aguacate_hass,31.0,SNIIM
2023-02-15,Sinaloa: Central de Abasto de Culiacán,aguacate_hass,42.77,SNIIM
2023-02-15,Sonora: Central de Abasto de Cd. Obregón,aguacate_hass,33.49,SNIIM
2023-02-15,"Sonora: Mercado de Abasto ""Francisco I. Madero"" de Hermosillo",aguacate_hass,42.3,SNIIM
2023-02-15,Tabasco: Central de Abasto de Villahermosa,aguacate_hass,35.87,SNIIM
2023-02-15,Tamaulipas: Módulo de Abasto de Reynosa,aguacate_hass,58.0,SNIIM
2023-02-15,"Tamaulipas: Módulo de Abasto de Tampico, Madero y Altamira",aguacate_hass,33.65,SNIIM
2023-02-15,Veracruz: Central de Abasto de Jalapa,aguacate_hass,40.24,SNIIM
2023-02-15,Veracruz: Central de Abasto de Minatitlán,aguacate_hass,43.06,SNIIM
2023-02-15,Veracruz: Mercado Malibrán,aguacate_hass,43.24,SNIIM
2023-02-15,Yucatán: Central de Abasto de Mérida,aguacate_hass,37.36,SNIIM
2023-02-15,Yucatán: Centro Mayorista Oxkutzcab,aguacate_hass,46.0,SNIIM
2023-02-15,Zacatecas: Mercado de Abasto de Zacatecas,aguacate_hass,33.04,SNIIM
2023-03-15,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,aguacate_hass,29.5,SNIIM
2023-03-15,"Baja California : Central de Abasto INDIA, Tijuana",aguacate_hass,42.52,SNIIM
2023-03-15,Baja California Sur: Unión de Comerciantes de La Paz,aguacate_hass,54.33,SNIIM
2023-03-15,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",aguacate_hass,30.48,SNIIM
2023-03-15,"Coahuila: Central de Abasto de La Laguna, Torreón",aguacate_hass,76.38,SNIIM
2023-03-15,Colima: Centros de distribución de Colima,aguacate_hass,56.0,SNIIM
2023-03-15,Chiapas: Central de Abasto de Tuxtla Gutiérrez,aguacate_hass,36.71,SNIIM
2023-03-15,Chihuahua: Mercado de Abasto de Cd. Juárez,aguacate_hass,36.88,SNIIM
2023-03-15,DF: Central de Abasto de Iztapalapa DF,aguacate_hass,38.94,SNIIM
2023-03-15,Durango: Centro de Distribución y Abasto de Gómez Palacio,aguacate_hass,45.68,SNIIM
2023-03-15,Guanajuato: Central de Abasto de León,aguacate_hass,39.69,SNIIM
2023-03-15,Guerrero: Central de Abastos de Acapulco,aguacate_hass,49.4,SNIIM
2023-03-15,Hidalgo: Central de Abasto de Pachuca,aguacate_hass,34.98,SNIIM
2023-03-15,Jalisco: Mercado de Abasto de Guadalajara,aguacate_hass,38.1,SNIIM
2023-03-15,Jalisco: Mercado Felipe Ángeles de Guadalajara,aguacate_hass,41.78,SNIIM
2023-03-15,México: Central de Abasto de Ecatepec,aguacate_hass,43.9,SNIIM
2023-03-15,México: Central de Abasto de Toluca,aguacate_hass,35.56,SNIIM
2023-03-15,Michoacán: Mercado de Abasto de Morelia,aguacate_hass,56.89,SNIIM
2023-03-15,Morelos: Central de Abasto de Cuautla,aguacate_hass,36.25,SNIIM
2023-03-15,"Morelos: Mercado ""Adolfo López Mateos"" de Cuernavaca",aguacate_hass,35.0,SNIIM
2023-03-15,Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,aguacate_hass,60.53,SNIIM
2023-03-15,Nayarit: Nayarabastos de Tepic,aguacate_hass,57.05,SNIIM
2023-03-15,"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",aguacate_hass,40.88,SNIIM
2023-03-15,Oaxaca: Módulo de Abasto de Oaxaca,aguacate_hass,35.93,SNIIM
2023-03-15,Puebla: Central de Abasto de Puebla,aguacate_hass,37.24,SNIIM
2023-03-15,Querétaro: Mercado de Abasto de Querétaro,aguacate_hass,35.68,SNIIM
2023-03-15,"Quintana Roo: Mercado de Chetumal, Quintana Roo",aguacate_hass,66.0,SNIIM
2023-03-15,San Luis Potosí: Centro de Abasto de San Luis Potosí,aguacate_hass,30.84,SNIIM
2023-03-15,Sinaloa: Central de Abasto de Culiacán,aguacate_hass,43.5,SNIIM
2023-03-15,Sonora: Central de Abasto de Cd. Obregón,aguacate_hass,34.44,SNIIM
2023-03-15,"Sonora: Mercado de Abasto ""Francisco I. Madero"" de Hermosillo",aguacate_hass,43.02,SNIIM
2023-03-15,Tabasco: Central de Abasto de Villahermosa,aguacate_hass,35.27,SNIIM
2023-03-15,Tamaulipas: Módulo de Abasto de Reynosa,aguacate_hass,68.42,SNIIM
