date,precio_promedio,cosecha_tons,cosecha_proyectada_tons,embarques_tons,tipo_cambio,temp_min_c,temp_avg_c,temp_max_c,precipitation_mm,importaciones_kg,precio_importacion_usd,year,month,quarter,precio_lag1,precio_lag2,precio_lag3,precio_ma3,precio_ma6,precio_ma12,precio_std3,ratio_oferta_demanda,balance_oferta_demanda,precio_importacion_mxn,diferencial_precio_mx_us,temp_precip_interaction,cosecha_por_mes,precio_proximo_mes,precio_promedio_log,cosecha_tons_log,embarques_tons_log,importaciones_kg_log,precio_promedio_boxcox,tipo_cambio_boxcox,temp_avg_c_boxcox,temp_loca,temp_marcena,temp_normal,month_sin,month_cos
2015-01-01,38.06669659907486,,,,,8.9,17.5,26.1,6.5,82796666.0,2.0221029189750226,2015,1,1,,,,38.06669659907486,38.06669659907486,38.06669659907486,,,,,,113.75,,38.42935993554971,3.665270354662432,0.0,0.0,18.231898364922102,2.489838685266925,,1114.511003074908,False,False,True,0.49999999999999994,0.8660254037844387
2015-02-01,38.42935993554971,,,,,9.3,17.9,26.5,42.2,58970191.0,2.041367595366954,2015,2,1,38.06669659907486,,,38.248028267312286,38.248028267312286,38.248028267312286,0.256441704509107,,,,,755.38,,40.3745304857325,3.6745107148272633,0.0,0.0,17.892542653864215,2.493861621521683,,1182.103608490897,False,False,True,0.8660254037844386,0.5000000000000001
2015-03-01,40.3745304857325,,,,,10.8,19.3,27.9,140.2,65480365.0,2.144695054769472,2015,3,1,38.42935993554971,38.06669659907486,,38.956862340119024,38.956862340119024,38.956862340119024,1.241055358241981,,,,,2705.8599999999997,,40.88561309706897,3.7226654858559822,0.0,0.0,17.99726089994456,2.514690773321355,,1439.0467221567303,False,False,True,1.0,6.123233995736766e-17
2015-04-01,40.88561309706897,,,,,13.6,21.9,30.3,7.3,58629937.0,2.1718437630250227,2015,4,2,40.3745304857325,38.42935993554971,38.06669659907486,39.89650117278373,39.43905002935651,39.43905002935651,1.296024273074023,,,,,159.86999999999998,,39.11139599935769,3.734942405127126,0.0,0.0,17.886756011460733,2.519964846773103,,2005.0535065953766,False,True,False,0.8660254037844387,-0.4999999999999998
2015-05-01,39.11139599935769,,,,,14.9,23.3,31.7,42.7,60720230.0,2.077597350998176,2015,5,2,40.88561309706897,40.3745304857325,38.42935993554971,40.123846527386384,39.373519223356745,39.373519223356745,0.913287146894022,,,,,994.9100000000001,,38.39342942386222,3.6916604834485005,0.0,0.0,17.921787495392238,2.501305756061811,,2360.7508971613915,False,True,False,0.49999999999999994,-0.8660254037844387
2015-06-01,38.39342942386222,,,,,17.0,23.5,29.9,183.2,51293690.0,2.0394589665902374,2015,6,2,39.11139599935769,40.88561309706897,40.3745304857325,39.46347950676296,39.21017092344099,39.21017092344099,1.2828550044294391,,,,,4305.2,,41.847154608989136,3.673599036505089,0.0,0.0,17.753078320121894,2.493465082438659,,2414.610179353606,False,True,False,1.2246467991473532e-16,-1.0
2015-07-01,41.847154608989136,,,,,16.2,22.5,28.9,179.9,58794151.0,2.222920848027893,2015,7,3,38.39342942386222,39.11139599935769,40.88561309706897,39.78399334406968,39.8402472584267,39.5868828785193,1.8224557071929635,,,,,4047.75,,34.208021981667024,3.757639239314803,0.0,0.0,17.889552952140487,2.52967668752165,,2152.9751319536667,True,False,False,-0.4999999999999997,-0.8660254037844388
2015-08-01,34.208021981667024,,,,,16.0,22.8,29.7,135.6,61108572.0,1.8171301237410689,2015,8,3,41.847154608989136,38.39342942386222,39.11139599935769,38.1495353381728,39.13669093277959,38.91452526641277,3.825401948583962,,,,,3091.68,,32.34174127382738,3.5612739538458773,0.0,0.0,17.92816272526479,2.443976555380456,,2229.4650005829108,True,False,False,-0.8660254037844384,-0.5000000000000004
2015-09-01,32.34174127382738,,,,,16.1,22.5,28.9,160.4,76380389.0,1.7179932927547672,2015,9,3,34.208021981667024,41.847154608989136,38.39342942386222,36.13230595482785,37.797892730795404,38.18421593390328,5.036404697310405,,,,,3609.0,,29.989625636041147,3.506810103728093,0.0,0.0,18.151236545797314,2.419523461283825,,2152.9751319536667,True,False,False,-1.0,-1.8369701987210297e-16
2015-10-01,29.989625636041147,,,,,14.7,21.7,28.7,196.5,79282879.0,1.593048910345448,2015,10,4,32.34174127382738,34.208021981667024,41.847154608989136,32.17979629717852,35.9818948206241,37.364756904117066,2.1138558521795012,,,,,4264.05,,31.13927165486581,3.43365249157313,0.0,0.0,18.188532774268683,2.386198727271209,,1957.2273129191153,False,False,False,-0.8660254037844386,0.5000000000000001
2015-11-01,31.13927165486581,,,,,13.4,20.8,28.2,16.1,77584281.0,1.6541181067335018,2015,11,4,29.989625636041147,32.34174127382738,34.208021981667024,31.156879521578116,34.65320742987546,36.79880369963968,1.176156673707612,,,,,334.88000000000005,,28.455428313637945,3.4700786984118226,0.0,0.0,18.16687541309072,2.4028606343338326,,1751.003188661063,False,False,False,-0.5000000000000004,0.8660254037844384
2015-12-01,28.455428313637945,,,,,10.2,18.1,26.0,35.3,73027314.0,1.511552348755426,2015,12,4,31.13927165486581,29.989625636041147,32.34174127382738,29.861441868181632,32.99687391150474,36.10352241747287,1.3465055064202063,,,,,638.93,,29.29484464045687,3.382878216155924,0.0,0.0,18.106344107207697,2.3627431428248133,,1216.854693026141,False,False,False,-2.4492935982947064e-16,1.0
2016-01-01,29.29484464045687,,,,,6.3,16.2,26.1,8.4,99315525.0,1.5561421439397314,2016,1,1,28.455428313637945,31.13927165486581,29.989625636041147,29.629848202986874,30.90482225008269,35.3725347542547,1.3729254569144598,,,,,136.08,,27.542002384220396,3.4109775541599,0.0,0.0,18.41381247127468,2.375757198081809,,911.9720170181315,False,False,True,0.49999999999999994,0.8660254037844387
2016-02-01,27.542002384220396,,,,,8.2,18.8,29.5,4.8,73684399.0,1.4630311634895738,2016,2,1,29.29484464045687,28.455428313637945,31.13927165486581,28.43075844610507,29.793818983841593,34.46525495831059,0.8766814960889262,,,,,90.24,,27.321146110001305,3.3513767702119495,0.0,0.0,18.11530166582645,2.3480545623865177,,1343.5825130356486,False,False,True,0.8660254037844386,0.5000000000000001
2016-03-01,27.321146110001305,,,,,9.9,19.4,28.9,16.1,80587820.0,1.451299278228397,2016,3,1,27.542002384220396,29.29484464045687,28.455428313637945,28.052664378226194,28.957053123203917,33.37747292699966,1.0814126069043628,,,,,312.34000000000003,,27.829351630792218,3.343608737992553,0.0,0.0,18.204858091841103,2.3444163194002137,,1458.642142107089,False,False,True,1.0,6.123233995736766e-17
2016-04-01,27.829351630792218,,,,,12.1,22.2,32.2,1.1,80153442.0,1.478295155434498,2016,4,2,27.321146110001305,27.542002384220396,29.29484464045687,27.564166708337968,28.597007455662425,32.289451138143264,0.2548267171782877,,,,,24.42,,42.29186628277385,3.3613940220041574,0.0,0.0,18.19945339305292,2.3527368081432503,,2078.1767194630756,False,True,False,0.8660254037844387,-0.4999999999999998
2016-05-01,42.29186628277385,,,,,15.7,25.2,34.6,19.6,63388439.0,2.2465439320883105,2016,5,2,27.829351630792218,27.321146110001305,27.542002384220396,32.480788007855786,30.45577322698043,32.55449032842794,8.500441806180856,,,,,493.92,,52.696568126891144,3.767964771699816,0.0,0.0,17.96479206839766,2.534078418660098,,2904.210533902497,False,True,False,0.49999999999999994,-0.8660254037844387
