precio_promedio,temp_min_c,temp_avg_c,temp_max_c,precio_importacion_usd,year,precio_lag1,precio_lag2,precio_lag3,precio_ma3,precio_ma6,precio_ma12,precio_std3,precio_importacion_mxn,precio_promedio_log,cosecha_tons_log,embarques_tons_log,precio_promedio_boxcox,temp_avg_c_boxcox,month_cos
38.06669659907486,8.9,17.5,26.1,2.0221029189750226,2015.0,50.28,49.70743541022771,50.63809523809524,38.06669659907486,38.06669659907486,38.06669659907486,5.971636304425495,54.95709967552764,3.665270354662432,0.0,0.0,2.489838685266925,1114.511003074908,0.8660254037844387
38.42935993554971,9.3,17.9,26.5,2.041367595366954,2015.0,38.06669659907486,49.70743541022771,50.63809523809524,38.248028267312286,38.248028267312286,38.248028267312286,0.256441704509107,54.95709967552764,3.6745107148272633,0.0,0.0,2.493861621521683,1182.103608490897,0.5000000000000001
40.3745304857325,10.8,19.3,27.9,2.144695054769472,2015.0,38.42935993554971,38.06669659907486,50.63809523809524,38.956862340119024,38.956862340119024,38.956862340119024,1.241055358241981,54.95709967552764,3.7226654858559822,0.0,0.0,2.514690773321355,1439.0467221567303,6.123233995736766e-17
40.88561309706897,13.6,21.9,30.3,2.1718437630250227,2015.0,40.3745304857325,38.42935993554971,38.06669659907486,39.89650117278373,39.43905002935651,39.43905002935651,1.296024273074023,54.95709967552764,3.734942405127126,0.0,0.0,2.519964846773103,2005.0535065953766,-0.4999999999999998
39.11139599935769,14.9,23.3,31.7,2.077597350998176,2015.0,40.88561309706897,40.3745304857325,38.42935993554971,40.123846527386384,39.373519223356745,39.373519223356745,0.913287146894022,54.95709967552764,3.6916604834485005,0.0,0.0,2.501305756061811,2360.7508971613915,-0.8660254037844387
38.39342942386222,17.0,23.5,29.9,2.0394589665902374,2015.0,39.11139599935769,40.88561309706897,40.3745304857325,39.46347950676296,39.21017092344099,39.21017092344099,1.2828550044294391,54.95709967552764,3.673599036505089,0.0,0.0,2.493465082438659,2414.610179353606,-1.0
41.847154608989136,16.2,22.5,28.9,2.222920848027893,2015.0,38.39342942386222,39.11139599935769,40.88561309706897,39.78399334406968,39.8402472584267,39.5868828785193,1.8224557071929635,54.95709967552764,3.757639239314803,0.0,0.0,2.52967668752165,2152.9751319536667,-0.8660254037844388
34.208021981667024,16.0,22.8,29.7,1.8171301237410689,2015.0,41.847154608989136,38.39342942386222,39.11139599935769,38.1495353381728,39.13669093277959,38.91452526641277,3.825401948583962,54.95709967552764,3.5612739538458773,0.0,0.0,2.443976555380456,2229.4650005829108,-0.5000000000000004
32.34174127382738,16.1,22.5,28.9,1.7179932927547672,2015.0,34.208021981667024,41.847154608989136,38.39342942386222,36.13230595482785,37.797892730795404,38.18421593390328,5.036404697310405,54.95709967552764,3.506810103728093,0.0,0.0,2.419523461283825,2152.9751319536667,-1.8369701987210297e-16
29.989625636041147,14.7,21.7,28.7,1.593048910345448,2015.0,32.34174127382738,34.208021981667024,41.847154608989136,32.17979629717852,35.9818948206241,37.364756904117066,2.1138558521795012,54.95709967552764,3.43365249157313,0.0,0.0,2.386198727271209,1957.2273129191153,0.5000000000000001
31.13927165486581,13.4,20.8,28.2,1.6541181067335018,2015.0,29.989625636041147,32.34174127382738,34.208021981667024,31.156879521578116,34.65320742987546,36.79880369963968,1.176156673707612,54.95709967552764,3.4700786984118226,0.0,0.0,2.4028606343338326,1751.003188661063,0.8660254037844384
28.455428313637945,10.2,18.1,26.0,1.511552348755426,2015.0,31.13927165486581,29.989625636041147,32.34174127382738,29.861441868181632,32.99687391150474,36.10352241747287,1.3465055064202063,54.95709967552764,3.382878216155924,0.0,0.0,2.3627431428248133,1216.854693026141,1.0
29.29484464045687,6.3,16.2,26.1,1.5561421439397314,2016.0,28.455428313637945,31.13927165486581,29.989625636041147,29.629848202986874,30.90482225008269,35.3725347542547,1.3729254569144598,54.95709967552764,3.4109775541599,0.0,0.0,2.375757198081809,911.9720170181315,0.8660254037844387
27.542002384220396,8.2,18.8,29.5,1.4630311634895738,2016.0,29.29484464045687,28.455428313637945,31.13927165486581,28.43075844610507,29.793818983841593,34.46525495831059,0.8766814960889262,54.95709967552764,3.3513767702119495,0.0,0.0,2.3480545623865177,1343.5825130356486,0.5000000000000001
27.321146110001305,9.9,19.4,28.9,1.451299278228397,2016.0,27.542002384220396,29.29484464045687,28.455428313637945,28.052664378226194,28.957053123203917,33.37747292699966,1.0814126069043628,54.95709967552764,3.343608737992553,0.0,0.0,2.3444163194002137,1458.642142107089,6.123233995736766e-17
27.829351630792218,12.1,22.2,32.2,1.478295155434498,2016.0,27.321146110001305,27.542002384220396,29.29484464045687,27.564166708337968,28.597007455662425,32.289451138143264,0.2548267171782877,54.95709967552764,3.3613940220041574,0.0,0.0,2.3527368081432503,2078.1767194630756,-0.4999999999999998
42.29186628277385,15.7,25.2,34.6,2.2465439320883105,2016.0,27.829351630792218,27.321146110001305,27.542002384220396,32.480788007855786,30.45577322698043,32.55449032842794,8.500441806180856,54.95709967552764,3.767964771699816,0.0,0.0,2.534078418660098,2904.210533902497,-0.8660254037844387
52.696568126891144,16.8,24.5,32.2,2.7992416928539687,2016.0,42.29186628277385,27.829351630792218,27.321146110001305,40.93926201348574,34.495963195855964,33.74641855368035,12.488665573148161,54.95709967552764,3.9833490912210383,0.0,0.0,2.623586518699204,2695.636740064544,-1.0
59.57118338054729,16.2,23.0,29.8,3.164421254339379,2016.0,52.696568126891144,42.29186628277385,27.829351630792218,51.51987259673743,39.542019652537704,35.223420951310196,8.699549363005229,54.95709967552764,4.103819258205789,0.0,0.0,2.67177828038448,2281.4059487800696,-0.8660254037844388
54.072681686833384,17.2,23.4,29.6,2.872340845000203,2016.0,59.57118338054729,52.696568126891144,42.29186628277385,55.44681106475728,43.96379953630653,36.87880926007406,3.637479536974227,54.95709967552764,4.008653798054522,0.0,0.0,2.6338186056661113,2387.583875825787,-0.5000000000000004
